"TIEMPO","INT_PUNTO","HORA","CON","Numero"
"2018-04-20 06:00:00",407,"06",1,1
"2018-04-20 07:00:00",407,"07",1,2
"2018-04-20 08:00:00",407,"08",1,3
"2018-04-20 09:00:00",407,"09",1,4
"2018-04-20 10:00:00",407,"10",1,5
"2018-04-20 11:00:00",407,"11",1,6
"2018-04-20 12:00:00",407,"12",1,7
"2018-04-20 13:00:00",407,"13",1,8
"2018-04-20 14:00:00",407,"14",1,9
"2018-04-20 15:00:00",407,"15",1,10
"2018-04-20 16:00:00",407,"16",1,11
"2018-04-20 17:00:00",407,"17",1,12
"2018-04-20 18:00:00",407,"18",1,13
"2018-04-20 19:00:00",407,"19",1,14
"2018-04-20 20:00:00",407,"20",1,15
"2018-04-20 21:00:00",407,"21",1,16
"2018-04-20 22:00:00",407,"22",1,17
"2018-04-20 23:00:00",407,"23",1,18
"2018-04-21 00:00:00",407,"00",0,19
"2018-04-21 01:00:00",407,"01",0,20
"2018-04-21 02:00:00",407,"02",0,21
"2018-04-21 03:00:00",407,"03",0,22
"2018-04-21 04:00:00",407,"04",0,23
"2018-04-21 05:00:00",407,"05",0,24
"2018-04-21 06:00:00",407,"06",1,25
"2018-04-21 07:00:00",407,"07",1,26
"2018-04-21 08:00:00",407,"08",1,27
"2018-04-21 09:00:00",407,"09",1,28
"2018-04-21 10:00:00",407,"10",1,29
"2018-04-21 11:00:00",407,"11",1,30
"2018-04-21 12:00:00",407,"12",1,31
"2018-04-21 13:00:00",407,"13",1,32
"2018-04-21 14:00:00",407,"14",1,33
"2018-04-21 15:00:00",407,"15",1,34
"2018-04-21 16:00:00",407,"16",1,35
"2018-04-21 17:00:00",407,"17",1,36
"2018-04-21 18:00:00",407,"18",1,37
"2018-04-21 19:00:00",407,"19",1,38
"2018-04-21 20:00:00",407,"20",1,39
"2018-04-21 21:00:00",407,"21",1,40
"2018-04-21 22:00:00",407,"22",1,41
"2018-04-21 23:00:00",407,"23",0,42
"2018-04-22 00:00:00",407,"00",0,43
"2018-04-22 01:00:00",407,"01",0,44
"2018-04-22 02:00:00",407,"02",0,45
"2018-04-22 03:00:00",407,"03",0,46
"2018-04-22 04:00:00",407,"04",0,47
"2018-04-22 05:00:00",407,"05",0,48
"2018-04-22 06:00:00",407,"06",1,49
"2018-04-22 07:00:00",407,"07",1,50
"2018-04-22 08:00:00",407,"08",1,51
"2018-04-22 09:00:00",407,"09",1,52
"2018-04-22 10:00:00",407,"10",1,53
"2018-04-22 11:00:00",407,"11",1,54
"2018-04-22 12:00:00",407,"12",1,55
"2018-04-22 13:00:00",407,"13",1,56
"2018-04-22 14:00:00",407,"14",1,57
"2018-04-22 15:00:00",407,"15",1,58
"2018-04-22 16:00:00",407,"16",1,59
"2018-04-22 17:00:00",407,"17",1,60
"2018-04-22 18:00:00",407,"18",1,61
"2018-04-22 19:00:00",407,"19",1,62
"2018-04-22 20:00:00",407,"20",1,63
"2018-04-22 21:00:00",407,"21",1,64
"2018-04-22 22:00:00",407,"22",0,65
"2018-04-22 23:00:00",407,"23",0,66
"2018-04-23 00:00:00",407,"00",0,67
"2018-04-23 01:00:00",407,"01",0,68
"2018-04-23 02:00:00",407,"02",0,69
"2018-04-23 03:00:00",407,"03",0,70
"2018-04-23 04:00:00",407,"04",0,71
"2018-04-23 05:00:00",407,"05",0,72
"2018-04-23 06:00:00",407,"06",1,73
"2018-04-23 07:00:00",407,"07",1,74
"2018-04-23 08:00:00",407,"08",1,75
"2018-04-23 09:00:00",407,"09",1,76
"2018-04-23 10:00:00",407,"10",1,77
"2018-04-23 11:00:00",407,"11",1,78
"2018-04-23 12:00:00",407,"12",1,79
"2018-04-23 13:00:00",407,"13",1,80
"2018-04-23 14:00:00",407,"14",1,81
"2018-04-23 15:00:00",407,"15",1,82
"2018-04-23 16:00:00",407,"16",1,83
"2018-04-23 17:00:00",407,"17",1,84
"2018-04-23 18:00:00",407,"18",1,85
"2018-04-23 19:00:00",407,"19",1,86
"2018-04-23 20:00:00",407,"20",1,87
"2018-04-23 21:00:00",407,"21",1,88
"2018-04-23 22:00:00",407,"22",1,89
"2018-04-23 23:00:00",407,"23",1,90
"2018-04-24 00:00:00",407,"00",0,91
"2018-04-24 01:00:00",407,"01",0,92
"2018-04-24 02:00:00",407,"02",0,93
"2018-04-24 03:00:00",407,"03",0,94
"2018-04-24 04:00:00",407,"04",0,95
"2018-04-24 05:00:00",407,"05",0,96
"2018-04-24 06:00:00",407,"06",1,97
"2018-04-24 07:00:00",407,"07",1,98
"2018-04-24 08:00:00",407,"08",1,99
"2018-04-24 09:00:00",407,"09",1,100
"2018-04-24 10:00:00",407,"10",1,101
