"INTERNO","NOMBRE","FECHA_DESDE","FECHA_HASTA","COD_CEN_COMERCIAL","TKT_PROMEDIO","INFORMACION","DUPLICADOS","IDENTIFICADOR","HABILITADO","NRO_LOCAL","HOMOLOGADO","ID_FIDELIZACION","DIA_OPERACION"
1,DON BUFFET ,,,1,,FORMATOS,N,"1",S,,S,"88",CAMBIA
2,PANISTERIA,,,1,,FORMATOS,N,"2",S,,S,,CAMBIA
3,ENTRE PAGINAS ADULTOS,,,1,,FORMATOS,N,"3",S,,S,,CAMBIA
4,ENTRE PAGINAS INFANTIL,,,1,,FORMATOS,N,CCPN-ENTREINF,S,,S,,CAMBIA
5,ENTRE PAGINAS GTT,,,1,,FORMATOS,N,"5",S,,S,,CAMBIA
6,TASA DE EMBARQUE,,,3,,GRAFICOS,N,GTT-EMBARQUE,N,,N,,CAMBIA
7,MEDITERRANEO,,,1,,FORMATOS,N,CCPN-MEDITERRANEO,S,,S,,CAMBIA
8,DON BUFFET,,,2,,FORMATOS,N,MDS-DONBUFFET,S,,S,,CAMBIA
9,ENTRE PAGINAS SOTANO,,,2,,FORMATOS,N,"9",S,,S,,CAMBIA
10,ENTRE PAGINAS 3ER PISO,,,2,,FORMATOS,N,"10",S,,S,,CAMBIA
12,SUN TIME,,,2,,FORMATOS,N,MDS-SUN_TIME,S,,S,,CAMBIA
13,MAUI,,,2,,FORMATOS,N,MDS-MAUI,S,,N,,MANTIENE
14,DISFRUTA,,,2,,FORMATOS,N,MDS-DISFRUTA,S,,N,,CAMBIA
15,SUN TIME,,,1,,FORMATOS,N,CCPN-SUNTIE,S,,S,,CAMBIA
16,MAUI,,,1,,FORMATOS,N,CCPN-MAUI,S,,N,,MANTIENE
17,ICE POP,,,1,,FORMATOS,N,CCPN-ICEPOP,S,,S,,CAMBIA
18,SUN TIME - MODULO,,,2,,FORMATOS,N,MDS-SUNTIME_MOD,S,,N,,CAMBIA
19,MONALISA,,,1,,FORMATOS,N,CCPN-MONALISA,S,,S,,CAMBIA
20,MEYLIN,,,1,,FORMATOS,N,CCPN_MEYLIN,S,,S,,CAMBIA
21,MEYLIN,,,2,,FORMATOS,N,MDS-MEYLIN,S,,S,,CAMBIA
22,MY HAIR BARCELONA,,,1,,GRAFICOS,N,CCPN-BARCELONA,N,,N,,CAMBIA
"3,000",MEDITERRANEO,,,2,,FORMATOS,N,MDS-MEDITERRANEO,S,,S,,CAMBIA
"3,001",MEDITERRANEO(USB),,,1,,FORMATOS,N,"3001",N,,N,,CAMBIA
"3,002",UTILEX,,,2,,FORMATOS,N,MDS-UTILEX,N,,N,,CAMBIA
"3,003",HAPPY CHURROS,,,2,,FORMATOS,N,MDS-CHURROS,N,,N,,CAMBIA
"3,004",UTILEX,,,1,,FORMATOS,N,CCPN-UTILEX,N,,N,,CAMBIA
"3,005",FOTO CRYSTAL,,,2,,GRAFICOS,N,MDS-CRYSTAL,N,,N,,CAMBIA
"3,006",GOLOSINAS GRAMS,,,2,,FORMATOS,N,MDS-GRAMS,S,,S,,CAMBIA
"3,007",TRIATHLON,,,2,,FORMATOS,N,MDS-TRIATHLON,S,,N,,MANTIENE
"3,008",TRIATHLON,,,1,,FORMATOS,N,CCPN-TRIATHLON,S,,N,,MANTIENE
"3,009",SR. PAPA,,,1,,FORMATOS,N,CCPN-SRPAPA,S,,S,,CAMBIA
"3,010",REEBOK,,,1,,GRAFICOS,N,CCPN-REEBOK,N,,N,,CAMBIA
"3,011",EQUIVALENZA,,,2,,FORMATOS,N,MDS-EQUIVALENZA,N,,N,,CAMBIA
"3,012",Q CHURROS,,,1,,FORMATOS,N,CCPN-CHURROS,S,,S,,CAMBIA
"3,013",KAYSER,,,1,,FORMATOS,N,CCPN-KAYSER,S,,S,,CAMBIA
"3,014",DVK,,,2,,FORMATOS,N,MDS-DVK,S,,S,,CAMBIA
"3,015",DUNKELVOLK,,,2,,FORMATOS,N,MDS-DUNKELVOLK,S,,S,,CAMBIA
"3,016",DVK,,,1,,FORMATOS,N,CCPN-DVK,S,,S,,CAMBIA
"3,017",DUNKELVOLK,,,1,,FORMATOS,N,CCPN-DUNKELVOLK,S,,S,,CAMBIA
"3,018",DEAD SEA PREMIER,,,1,,FORMATOS,N,CCPN-DEADSEA,S,,N,,MANTIENE
"3,019",COLUMBIA,,,1,,FORMATOS,N,CCPN-COLOMBIA,N,,N,,CAMBIA
"3,020",REEBOK,,,2,,FORMATOS,N,MDS-REEBOK,N,,N,,CAMBIA
"3,022",CANELIE GALERIA,,,1,,FORMATOS,N,CCPN-CANELIEGAL,N,,N,,CAMBIA
"3,023",CANELIE PLAZA TRADICIONES,,,1,,FORMATOS,N,CCPN-CANELIEPLA,N,,N,,CAMBIA
"3,024",CANELIE PRIMER PISO,,,3,,FORMATOS,N,GTT-CANELIE1ERPISO,N,,N,,CAMBIA
"3,025",CANELIE SOTANO,,,3,,FORMATOS,N,GTT-CANELIESOTANO,N,,N,,CAMBIA
"3,026",LA SALCHIPAPERIA,,,2,,FORMATOS,N,MDS-SALCHIPAPERIA,S,,S,,CAMBIA
"3,027",FORLI,,,1,,FORMATOS,N,CCPN-FORLI,N,,N,,CAMBIA
"3,028",FORLI,,,2,,FORMATOS,N,MDS-FORLI,N,,N,,CAMBIA
