"INTERNO","INT_CLIENTE","PREFIJO","COD_IMPRESORA","INFORMA_CIERRE","CONTROLA_CIERRE","PUERTO","INFORMACION","INSTALACION","SINTOMA","NUMERACION","HOMOLOGADO"
27,10,"001",1,N,S,SERIE,TEXTO PLANO,2017-03-21 11:44:14,BAJA,C,N
26,9,"003",1,N,S,SERIE,TEXTO PLANO,2017-03-21 18:05:01,BAJA,C,N
20,8,"0001",1,S,S,SERIE,TEXTO PLANO,2017-03-22 10:30:02,,C,N
21,8,"0002",1,S,S,SERIE,TEXTO PLANO,2017-03-22 10:32:15,,C,N
22,8,"0003",1,S,S,SERIE,TEXTO PLANO,2017-03-22 10:33:40,,C,N
23,8,"0004",1,S,S,SERIE,TEXTO PLANO,2017-03-22 10:35:10,,C,N
24,8,"0005",1,S,S,SERIE,TEXTO PLANO,2017-03-22 10:37:02,,C,N
25,8,"0006",1,S,S,SERIE,TEXTO PLANO,2017-03-22 10:40:44,,C,N
14,5,"001",1,S,S,SERIE,TEXTO PLANO,2017-03-28 16:19:40,BAJA,C,N
12,3,"001",1,N,S,SERIE,TEXTO PLANO,2017-03-28 18:01:11,BAJA,C,N
6,1,"006",1,S,S,SERIE,TEXTO PLANO,2017-03-29 11:09:43,BAJA,C,N
5,1,"005",1,S,S,SERIE,TEXTO PLANO,2017-03-29 11:31:03,BAJA,C,N
3,1,"003",1,S,S,SERIE,TEXTO PLANO,2017-03-29 11:44:44,BAJA,C,N
4,1,"004",1,S,S,SERIE,TEXTO PLANO,2017-03-29 12:00:11,BAJA,C,N
2,1,"002",1,S,S,SERIE,TEXTO PLANO,2017-03-29 12:12:43,BAJA,C,N
1,1,"001",1,S,S,SERIE,TEXTO PLANO,2017-03-29 12:24:17,BAJA,C,N
10,2,"002",1,N,S,SERIE,TEXTO PLANO,2017-03-29 12:54:32,BAJA,C,N
11,2,"003",1,N,S,SERIE,TEXTO PLANO,2017-03-29 13:15:00,BAJA,C,N
9,2,"001",1,N,S,SERIE,TEXTO PLANO,2017-03-29 13:34:11,BAJA,C,N
13,4,"001",1,N,S,SERIE,TEXTO PLANO,2017-03-29 14:29:02,BAJA,C,N
19,6,"008",1,N,S,SERIE,GRAFICO,2017-03-30 10:05:46,BAJA,C,N
18,6,"007",1,N,S,SERIE,GRAFICO,2017-03-30 10:18:12,BAJA,C,N
15,6,"003",1,N,S,SERIE,GRAFICO,2017-03-30 10:36:31,BAJA,C,N
16,6,"004",1,N,S,SERIE,GRAFICO,2017-03-30 10:58:26,BAJA,C,N
17,6,"005",1,N,S,SERIE,GRAFICO,2017-03-30 12:36:10,BAJA,C,N
31,"3,000","0001",1,N,S,USB,TEXTO PLANO,2017-06-08 10:42:24,BAJA,C,N
32,"3,000","0002",1,N,S,USB,TEXTO PLANO,2017-06-08 11:08:24,BAJA,C,N
7,2,"0004",1,S,S,SERIE,TEXTO PLANO,2017-07-21 14:18:27,,C,N
8,2,"0005",1,S,S,SERIE,TEXTO PLANO,2017-07-21 14:23:12,,C,N
28,12,"0001",1,S,S,USB,TEXTO PLANO,2017-07-25 10:21:18,,C,N
29,13,"0001",1,N,S,USB,GRAFICO,2017-07-25 11:28:20,,C,N
202,21,"0001",8,N,S,USB,TEXTO PLANO,2017-07-31 20:04:15,,C,N
182,15,"0001",7,N,S,USB,TEXTO PLANO,2017-08-01 10:44:12,,C,N
183,16,"0001",7,N,S,USB,GRAFICO,2017-08-01 11:31:29,,C,N
231,"3,018","0001",8,N,S,SERIE,GRAFICO,2017-08-01 11:57:16,,C,N
184,17,"0001",1,S,S,SERIE,TEXTO PLANO,2017-08-01 12:02:30,,C,N
185,19,"0001",8,S,S,USB,TEXTO PLANO,2017-08-02 12:24:57,,C,N
186,18,"0002",1,N,S,USB,TEXTO PLANO,2017-08-03 15:58:50,,C,N
203,20,"0001",8,N,S,USB,TEXTO PLANO,2017-08-04 12:54:11,,C,N
189,7,"0002",1,N,S,USB,TEXTO PLANO,2017-08-10 17:57:54,,C,N
190,7,"0001",1,N,S,USB,TEXTO PLANO,2017-08-14 12:55:18,,C,N
232,22,"0001",7,N,N,USB,GRAFICO,2017-08-15 11:47:13,BAJA,C,N
265,"3,005","0001",8,N,S,USB,GRAFICO,2017-08-15 12:17:46,BAJA,C,N
264,"3,003","0001",7,N,S,USB,GRAFICO,2017-08-16 11:46:19,,C,N
262,"3,002","0001",1,N,S,LPT,,2017-08-16 11:58:15,EN REVISIÓN,C,N
263,"3,002","0002",1,N,S,LPT,,2017-08-16 12:53:06,EN REVISIÓN,C,N
222,"3,006","0001",1,S,S,USB,TEXTO PLANO,2017-08-17 09:40:27,,C,N
267,"3,008","0001",1,N,S,USB,GRAFICO,2017-08-17 10:34:27,,C,N
268,"3,008","0002",7,N,S,USB,GRAFICO,2017-08-17 10:43:08,,C,N
266,"3,007","0001",1,N,S,USB,GRAFICO,2017-08-17 11:33:27,,C,N
223,"3,009","0001",7,S,S,USB,TEXTO PLANO,2017-08-18 09:13:40,,C,N
269,"3,010","0001",7,N,S,USB,,2017-08-18 09:54:59,EN REVISIÓN,C,N
225,"3,012","0001",1,S,S,USB,TEXTO PLANO,2017-08-23 09:15:44,,C,N
226,"3,013","0001",7,S,S,USB,TEXTO PLANO,2017-08-23 09:49:34,,C,N
227,"3,014","0001",8,N,S,USB,TEXTO PLANO,2017-08-23 10:21:52,,C,N
228,"3,015","0001",8,N,S,USB,TEXTO PLANO,2017-08-23 11:04:50,BAJA,C,N
229,"3,016","0001",8,N,S,USB,TEXTO PLANO,2017-08-24 10:36:41,,C,N
230,"3,017","0001",8,N,S,USB,TEXTO PLANO,2017-08-24 10:59:24,BAJA,C,N
271,"3,020","0001",7,N,S,USB,,2017-09-01 10:18:23,EN REVISIÓN,C,N
270,"3,011","0001",8,N,S,USB,GRAFICO,2017-09-01 12:12:46,BAJA,C,N
233,"3,026","0001",8,N,S,USB,TEXTO PLANO,2017-09-06 10:41:44,,C,N
234,"3,027","0001",1,N,S,USB,GRAFICO,2017-09-06 11:07:18,,C,N
235,"3,028","0001",,N,S,IMP LASER,,2017-09-07 10:06:47,NO APLICA,C,N
237,"3,030","0001",1,N,S,USB,TEXTO PLANO,2017-09-07 12:27:54,,C,N
238,"3,031","0001",1,N,S,USB,GRAFICO,2017-09-07 12:32:49,,C,N
244,"3,030","0002",1,N,S,USB,TEXTO PLANO,2017-09-07 12:42:22,,C,N
241,"3,031","0002",1,N,S,USB,GRAFICO,2017-09-07 12:49:33,,C,N
239,"3,032","0001",1,N,S,USB,GRAFICO,2017-09-07 13:07:55,,C,N
240,"3,033","0001",1,N,S,USB,GRAFICO,2017-09-07 13:33:50,,C,N
242,"3,036","0001",1,N,S,USB,TEXTO PLANO,2017-09-08 12:18:25,,C,N
243,"3,034","0001",1,N,S,USB,GRAFICO,2017-09-08 12:20:12,,C,N
276,"3,039","0001",7,N,S,USB,,2017-09-13 12:14:24,EN REVISIÓN,C,N
277,"3,039","0002",7,N,S,USB,,2017-09-13 12:34:27,EN REVISIÓN,C,N
278,"3,040","0001",7,N,S,USB,,2017-09-13 12:59:28,EN REVISIÓN,C,N
245,"3,038","0001",1,N,S,USB,GRAFICO,2017-09-20 11:13:22,,C,N
246,"3,045","0001",1,N,S,USB,TEXTO PLANO,2017-09-21 13:30:46,,C,N
247,"3,047","0001",1,S,S,USB,TEXTO PLANO,2017-09-22 10:15:02,,C,N
248,"3,048","0001",7,N,N,USB,GRAFICO,2017-09-28 11:45:42,,C,N
249,"3,049","0001",8,N,N,USB,GRAFICO,2017-10-04 10:50:28,,C,N
251,"3,052","0002",1,S,N,USB,TEXTO PLANO,2017-10-19 09:34:44,,S,N
250,"3,052","0001",1,S,N,USB,TEXTO PLANO,2017-10-19 10:07:36,,S,N
279,"3,053","0001",,N,S,USB,,2017-10-20 09:37:05,NO APLICA,C,N
280,"3,054","0001",1,S,S,SERIE,TEXTO PLANO,2017-10-20 10:27:20,BAJA,C,N
281,"3,055","0001",1,S,S,SERIE,TEXTO PLANO,2017-10-20 11:41:24,,C,N
273,"3,023","0001",7,N,S,USB,GRAFICO,2017-10-20 13:31:13,,C,N
272,"3,022","0001",7,N,S,USB,GRAFICO,2017-10-20 14:23:12,,C,N
274,"3,024","0001",7,N,S,USB,GRAFICO,2017-10-20 14:25:38,,C,N
275,"3,025","0002",7,N,S,USB,GRAFICO,2017-10-20 14:50:55,,C,N
284,"3,044","0001",1,S,S,SERIE,TEXTO PLANO,2017-10-27 00:00:00,,C,N
285,"3,044","0002",1,S,S,SERIE,TEXTO PLANO,2017-10-27 00:00:00,,C,N
282,"3,043","0001",1,S,S,SERIE,TEXTO PLANO,2017-10-27 00:00:00,,C,N
283,"3,043","0002",1,S,S,SERIE,TEXTO PLANO,2017-10-27 00:00:00,,C,N
30,14,"0001",1,S,S,LPT,TEXTO PLANO,2017-10-31 00:00:00,,C,N
