"valor","Punto","filas","test","Porce"
0,277,52,0,0
0,278,5351,0,0
14,245,5172,1,4.51612903225806
7,246,5158,1,2.26537216828479
2,247,5137,1,0.649350649350649
28,248,4489,1,10.4089219330855
87,249,4848,1,30
15,251,4490,1,5.57620817843866
19,250,4489,1,7.0631970260223
0,279,4,0,NA
18,302,3420,1,8.78048780487805
13,281,4463,1,4.8689138576779
115,273,4462,1,43.0711610486891
27,272,4461,1,10.1123595505618
4,274,3167,1,2.10526315789474
13,275,4461,1,4.8689138576779
11,282,4297,1,4.28015564202335
10,283,4297,1,3.89105058365759
17,284,4296,1,6.6147859922179
19,285,4296,1,7.39299610894942
7,322,3673,1,3.18181818181818
4,323,3673,1,1.81818181818182
9,324,3659,1,4.10958904109589
1,328,191,1,9.09090909090909
0,329,3648,0,0
0,330,442,0,0
9,326,3646,1,4.12844036697248
17,327,3632,1,7.83410138248848
11,331,3643,1,5.04587155963303
3,342,3379,1,1.48514851485149
1,345,3519,1,0.4739336492891
7,343,3519,1,3.3175355450237
4,344,3517,1,1.8957345971564
21,346,3519,1,9.95260663507109
2,351,3505,1,0.952380952380952
9,347,3504,1,4.28571428571429
21,348,3505,1,10
20,349,3505,1,9.52380952380952
31,350,3504,1,14.7619047619048
10,352,3480,1,4.80769230769231
8,353,3480,1,3.84615384615385
2,354,1200,1,2.77777777777778
15,355,3480,1,7.21153846153846
11,356,3479,1,5.28846153846154
17,357,3442,1,8.25242718446602
5,358,3478,1,2.40384615384615
0,364,3457,0,0
1,362,1293,1,1.2987012987013
10,363,3456,1,4.83091787439614
13,365,3450,1,6.28019323671498
8,366,3450,1,3.86473429951691
5,443,3372,1,2.47524752475248
9,382,3372,1,4.45544554455445
14,383,3385,1,6.89655172413793
10,442,3323,1,5.0251256281407
0,384,3336,0,0
0,385,3336,0,0
9,386,3308,1,4.54545454545455
9,406,1698,1,8.91089108910891
6,407,3167,1,3.15789473684211
22,408,2133,1,17.3228346456693
14,409,2133,1,11.0236220472441
5,422,2013,1,4.16666666666667
12,423,3047,1,6.59340659340659
1,462,166,1,11.1111111111111
0,463,75,0,0
0,464,24,0,0
0,465,12,0,NA
0,482,1369,0,0
19,502,1258,1,25.3333333333333
0,522,144,1,0
0,523,130,1,0
0,524,143,1,0
0,542,10,0,NA
